t_sec,t_min,STROKE_SPEED,LUBRICATION,PRESS_FORCE
0.0,0.0,25.000000249998916,3.500000034998897,1112.27
10.0,0.16666666666666666,25.000000249998923,3.5000000349989038,1078.0899107598118
20.0,0.3333333333333333,25.00000024999893,3.5000000349989104,1044.4368720026787
30.0,0.5,25.000000249998934,3.5000000349989167,1011.3027567102725
40.0,0.6666666666666666,25.00000024999894,3.500000034998923,978.6795631813453
50.0,0.8333333333333334,25.000000249998948,3.500000034998929,946.5594130993613
60.0,1.0,25.00000024999895,3.500000034998935,914.9345496299296
70.0,1.1666666666666667,25.00000024999896,3.50000003499894,883.7973355475717
80.0,1.3333333333333333,25.000000249998962,3.5000000349989455,853.1402513913754
90.0,1.5,25.00000024999897,3.500000034998951,822.9558936490873
100.0,1.6666666666666667,25.000000249998973,3.5000000349989557,793.2369729692066
110.0,1.8333333333333333,25.000000249998976,3.5000000349989606,763.9763124006477
120.0,2.0,25.000000249998983,3.500000034998965,735.1668456595476
130.0,2.1666666666666665,25.000000249998987,3.5000000349989695,706.8016154227979
140.0,2.3333333333333335,25.00000024999899,3.500000034998974,678.8737716478912
150.0,2.5,25.000000249998994,3.500000034998978,651.376569918674
160.0,2.6666666666666665,25.000000249998998,3.500000034998982,624.3033698166089
170.0,2.8333333333333335,25.000000249999,3.500000034998986,597.6476333171506
180.0,3.0,25.000000249999008,3.5000000349989895,571.4029232108506
190.0,3.1666666666666665,25.00000024999901,3.500000034998993,545.5629015488072
200.0,3.3333333333333335,25.00000024999901,3.5000000349989966,520.1213281120864
210.0,3.5,25.000000249999015,3.5000000349989997,495.0720589047454
220.0,3.6666666666666665,25.00000024999902,3.500000034999003,470.4090446700911
230.0,3.8333333333333335,25.000000249999022,3.500000034999006,446.12632942981963
240.0,4.0,25.000000249999026,3.500000034999009,422.21804904568137
250.0,4.166666666666667,25.00000024999903,3.5000000349990117,398.67842980332426
260.0,4.333333333333333,25.00000024999903,3.5000000349990144,375.50178701797495
270.0,4.5,25.000000249999033,3.500000034999017,352.68252366161926
280.0,4.666666666666667,25.000000249999037,3.5000000349990192,330.2151290113517
290.0,4.833333333333333,25.000000249999037,3.500000034999022,308.0941773185672
300.0,5.0,25.00000024999904,3.500000034999024,286.3143264986736
310.0,5.166666666666667,25.000000249999044,3.500000034999026,264.87031684100816
320.0,5.333333333333333,25.000000249999044,3.500000034999028,243.75696973864746
330.0,5.5,25.000000249999047,3.50000003499903,222.96918643780316
340.0,5.666666666666667,25.000000249999047,3.5000000349990317,202.50194680650165
350.0,5.833333333333333,25.00000024999905,3.5000000349990334,182.3503081222507
360.0,6.0,25.00000024999905,3.5000000349990352,162.50940387840004
370.0,6.166666666666667,25.000000249999054,3.5000000349990366,142.9744426089074
380.0,6.333333333333333,25.000000249999054,3.500000034999038,123.74070673122674
390.0,6.5,25.000000249999054,3.5000000349990392,104.80355140703868
400.0,6.666666666666667,25.000000249999058,3.5000000349990406,86.15840342054834
410.0,6.833333333333333,25.000000249999058,3.500000034999042,67.80076007407966
420.0,7.0,25.000000249999058,3.5000000349990428,49.72618810069941
430.0,7.166666666666667,25.00000024999906,3.5000000349990437,31.930322593608302
440.0,7.333333333333333,25.00000024999906,3.5000000349990446,14.408865952040665
450.0,7.5,25.00000024999906,3.5000000349990454,-2.842413156581705
460.0,7.666666666666667,25.00000024999906,3.500000034999046,-19.827680818492492
470.0,7.833333333333333,25.00000024999906,3.5000000349990468,-36.55103887966707
480.0,8.0,25.00000024999906,3.500000034999047,-53.01652593639505
490.0,8.166666666666666,25.000000249999065,3.5000000349990477,-69.22811831057848
500.0,8.333333333333334,25.000000249999065,3.500000034999048,-85.18973100999104
510.0,8.5,25.000000249999065,3.500000034999048,-100.90521867373025
520.0,8.666666666666666,25.000000249999065,3.500000034999048,-116.37837650309098
530.0,8.833333333333334,25.000000249999065,3.5000000349990485,-131.6129411780851
540.0,9.0,25.000000249999065,3.5000000349990485,-146.61259175982855
550.0,9.166666666666666,25.000000249999065,3.500000034999048,-161.38095057901373
560.0,9.333333333333334,25.000000249999065,3.500000034999048,-175.92158411068192
570.0,9.5,25.000000249999065,3.5000000349990477,-190.2380038355067
580.0,9.666666666666666,25.000000249999065,3.5000000349990477,-204.3336670877968
590.0,9.833333333333334,25.00000024999906,3.500000034999047,-218.21197789042265
600.0,10.0,25.00000024999906,3.5000000349990463,-231.87628777686862
610.0,10.166666666666666,25.00000024999906,3.500000034999046,-245.32989660060954
620.0,10.333333333333334,25.00000024999906,3.500000034999045,-258.5760533320064
630.0,10.5,25.00000024999906,3.500000034999044,-271.6179568429144
640.0,10.666666666666666,25.000000249999058,3.500000034999043,-284.45875667919256
650.0,10.833333333333334,25.000000249999058,3.5000000349990423,-297.10155382130097
660.0,11.0,25.000000249999058,3.5000000349990414,-309.54940143317003
670.0,11.166666666666666,25.000000249999058,3.50000003499904,-321.80530559952246
680.0,11.333333333333334,25.000000249999054,3.500000034999039,-333.87222605182546
690.0,11.5,25.000000249999054,3.5000000349990374,-345.7530768830494
700.0,11.666666666666666,25.00000024999905,3.500000034999036,-357.45072725140454
710.0,11.833333333333334,25.00000024999905,3.500000034999035,-368.9680020732266
720.0,12.0,25.00000024999905,3.500000034999033,-380.3076827051781
730.0,12.166666666666666,25.000000249999047,3.5000000349990312,-391.47250761593
740.0,12.333333333333334,25.000000249999047,3.5000000349990295,-402.46517304748676
750.0,12.5,25.000000249999044,3.5000000349990272,-413.28833366631324
760.0,12.666666666666666,25.00000024999904,3.5000000349990255,-423.9446032044217
770.0,12.833333333333334,25.00000024999904,3.5000000349990232,-434.43655509057334
780.0,13.0,25.000000249999037,3.500000034999021,-444.7667230717467
790.0,13.166666666666666,25.000000249999037,3.5000000349990184,-454.9376018250232
800.0,13.333333333333334,25.000000249999033,3.500000034999016,-464.9516475600376
810.0,13.5,25.00000024999903,3.5000000349990135,-474.81127861213866
820.0,13.666666666666666,25.000000249999026,3.500000034999011,-484.5188760264035
830.0,13.833333333333334,25.000000249999026,3.5000000349990077,-494.07678413264654
840.0,14.0,25.000000249999022,3.500000034999005,-503.4873111115615
850.0,14.166666666666666,25.00000024999902,3.500000034999002,-512.7527295521347
860.0,14.333333333333334,25.000000249999015,3.500000034998999,-521.8752770004617
870.0,14.5,25.00000024999901,3.5000000349989953,-530.8571565001024
880.0,14.666666666666666,25.000000249999008,3.5000000349989917,-539.7005371241034
890.0,14.833333333333334,25.000000249999005,3.500000034998988,-548.4075544988174
900.0,15.0,25.000000249999,3.5000000349989846,-556.9803113196438
910.0,15.166666666666666,25.000000249998998,3.5000000349989806,-565.4208778588189
920.0,15.333333333333334,25.000000249998994,3.5000000349989766,-573.7312924653743
930.0,15.5,25.00000024999899,3.500000034998972,-581.9135620573863
940.0,15.666666666666666,25.000000249998987,3.500000034998968,-589.9696626066365
950.0,15.833333333333334,25.00000024999898,3.5000000349989633,-597.9015396157963
960.0,16.0,25.000000249998976,3.500000034998959,-605.7111085882557
970.0,16.166666666666668,25.000000249998973,3.500000034998954,-613.4002554907064
980.0,16.333333333333332,25.000000249998966,3.500000034998949,-620.970837208592
990.0,16.5,25.000000249998962,3.5000000349989437,-628.4246819945351
1000.0,16.666666666666668,25.000000249998955,3.5000000349989384,-635.7635899098505
1010.0,16.833333333333332,25.00000024999895,3.5000000349989326,-642.9893332592491
1020.0,17.0,25.000000249998944,3.500000034998927,-650.10365701884
1030.0,17.166666666666668,25.00000024999894,3.500000034998921,-657.1082792575321
1040.0,17.333333333333332,25.000000249998934,3.500000034998915,-664.0048915519386
1050.0,17.5,25.000000249998926,3.500000034998908,-670.7951593948818
1060.0,17.666666666666668,25.00000024999892,3.5000000349989016,-677.4807225976017
1070.0,17.833333333333332,25.000000249998912,3.500000034998895,-684.0631956857604
1080.0,18.0,25.000000249998905,3.500000034998888,-690.5441682893406
1090.0,18.166666666666668,25.000000249998898,3.5000000349988802,-696.9252055265332
1100.0,18.333333333333332,25.00000024999889,3.5000000349988727,-703.2078483817036
1110.0,18.5,25.000000249998884,3.5000000349988647,-709.3936140775311
1120.0,18.666666666666668,25.000000249998877,3.5000000349988563,-715.4839964414092
1130.0,18.833333333333332,25.000000249998866,3.500000034998848,-721.4804662661973
1140.0,19.0,25.00000024999886,3.500000034998839,-727.3844716654081
1150.0,19.166666666666668,25.00000024999885,3.5000000349988296,-733.1974384229189
1160.0,19.333333333333332,25.00000024999884,3.50000003499882,-738.9207703372905
1170.0,19.5,25.00000024999883,3.50000003499881,-744.5558495607766
1180.0,19.666666666666668,25.00000024999882,3.5000000349988,-750.1040369331056
1190.0,19.833333333333332,25.00000024999881,3.500000034998789,-755.566672310116
1200.0,20.0,25.0000002499988,3.500000034998778,-760.9450748873239
1210.0,20.166666666666668,25.000000249998788,3.5000000349987666,-766.2405435185009
1220.0,20.333333333333332,25.000000249998774,3.5000000349987546,-771.45435702934
1230.0,20.5,25.000000249998763,3.5000000349987417,-776.5877745262853
1240.0,20.666666666666668,25.00000024999875,3.500000034998729,-781.6420357005987
1250.0,20.833333333333332,25.000000249998738,3.5000000349987155,-786.6183611277381
1260.0,21.0,25.000000249998724,3.5000000349987013,-791.5179525621198
1270.0,21.166666666666668,25.00000024999871,3.5000000349986866,-796.3419932273354
1280.0,21.333333333333332,25.000000249998692,3.500000034998671,-801.0916481018934
1290.0,21.5,25.000000249998678,3.500000034998655,-805.768064200555
1300.0,21.666666666666668,25.00000024999866,3.5000000349986387,-810.3723708513319
1310.0,21.833333333333332,25.000000249998646,3.500000034998621,-814.9056799682121
1320.0,22.0,25.000000249998628,3.5000000349986027,-819.3690863196811
1330.0,22.166666666666668,25.000000249998607,3.5000000349985836,-823.7636677931025
1340.0,22.333333333333332,25.00000024999859,3.5000000349985636,-828.0904856550216
1350.0,22.5,25.000000249998568,3.5000000349985427,-832.3505848074548
